,AAPL,ABNB,ADBE,AMD,AMZN,AVGO,BA,BAC,BK,CAT,COST,CRM,CSCO,CVX,DIS,F,GE,GM,GOOG,GS,HD,IBM,INTC,JPM,KO,LMT,LOW,LYFT,MCD,META,MRK,MS,MSFT,NFLX,NKE,NVDA,ORCL,PEP,PFE,PYPL,QCOM,SBUX,SPY,TGT,TSLA,UBER,UNH,UPS,WMT,XOM,Market,SMB,HML,RMW,CMA,RF
2020-12-11,-0.006734785506420593,-0.03773067832595134,-0.0020131093692363766,-0.0001091221452198532,0.004813852496939441,-0.01029146531980818,-0.01748919068728927,-0.018550398732136597,-0.02707899752348497,0.002460126280024566,0.006196504981280659,-0.0022429128519516617,0.0,-0.009641034701963314,0.13594937179174194,-0.010964729278981178,-0.01413440575965541,-0.022159864929012008,0.0036274951856087867,-0.01804417266114211,-0.0009820654119737648,-0.005521791939583465,-0.01054508681366706,-0.005903664414732224,0.00565499955953519,0.017783395871902696,-0.014979268413940372,-0.025774301865213345,-0.0013460487196956805,-0.012882476593747638,-0.00036157565040084716,-0.017380491707737478,0.013015525038824416,0.0042506821448053955,-0.001236008115397258,0.0031607364184838005,0.018998121311140093,0.0020734833542030984,-0.014617661544242821,-0.005944116512155206,-0.07364336306407993,-0.022677878201957546,-0.0011724284506200444,-0.004002370976948111,-0.027237767375868138,-0.03164668729153397,-0.007595857453703836,0.02532855144084345,-0.0002719824505094115,-0.0047716308079384095,-1.8e-05,-5.6999999999998993e-05,-7.3e-05,-5.7999999999999994e-05,-5.6e-05,0.0
2020-12-14,-0.005146626975475854,-0.06642728904847395,0.02208402783036889,0.03415163340214633,0.013011701561464806,0.014735291132912387,-0.0074241596851176705,-0.012250619386042993,-0.010188922235123687,-0.006916179621783813,-0.0019195209851009531,-0.005170351632655779,-0.0018050188529651345,-0.032557988574722585,-0.03653549616919549,-0.012195271493124382,-0.02956971219932325,-0.0071565370577482135,-0.012184385267401066,-0.009166966671277699,0.0038934899893598995,-0.005954883103666875,0.014880290233880489,-0.010538408119638576,-0.001499547800278167,-0.011196832228137166,0.014383329138018208,-0.002133528406228935,0.02002299402262442,0.002339604107439719,-0.024176608375422348,-0.022741677846244812,0.004407889625065886,0.03815432687897835,-0.008223639689306284,0.022707528714569047,0.0024747473141526477,-0.005104549535001057,-0.046449435766279246,0.03143978257079749,0.013930946087621354,0.0031070884392765397,-0.0044774158228078065,-0.004193040995605468,0.048918853305726984,-0.022230704159179604,-0.0027890040905851343,-0.010570106526428424,-0.009183675680053627,-0.03607288701379052,-2.6e-05,2.1e-05,-0.000151,-3.9e-05,-8.3e-05,0.0
2020-12-15,0.05009030649375257,-0.03999997652493992,-0.00777105932105826,0.024688795077261405,0.0025815971159888207,0.015201739110026091,0.003849203488791142,0.014883222619765046,0.009038265074508445,0.020724508534257335,-0.0066775412624136,-0.00506174533613768,0.010849697025470784,-0.0007829088084784219,0.02740708944831849,0.026936168952174322,0.025853983810551595,0.0009609816376130453,0.004380435365541224,0.019512773927547578,0.009036920791180236,0.019428624643250014,0.003962753776517669,0.01707490970481973,0.010700542214408637,-0.00025148374430217224,0.020238685570830306,0.05409447839500503,0.013873375514645181,0.004960138223953026,0.001991596326875733,0.03345185094701386,-0.00032680420307917846,-0.005053404081671986,0.022820909858172644,0.003888517336860353,0.018104223106192974,0.0037441383275997886,-0.012751712505376323,0.0036687327518369894,0.014150420648936235,0.008323319741293966,0.013519669885318386,0.002456248238451586,-0.010284031966116491,-0.008938964101370406,0.010532095137841146,0.003301035948678921,-0.00048053266633985015,0.01942213810669302,0.000129,0.000113999999999999,3.8e-05,4.4999999999999996e-05,5.4000000000000005e-05,0.0
2020-12-16,-0.0005474210200233642,0.10568911954221671,0.015042224075297872,-0.0027801098108024558,0.023961224378619583,0.016361530022223514,-0.015817014739923696,0.0027931147305935156,0.006469600268727005,-0.01232539007588418,-0.006561411148501839,0.015761980346771898,0.0,-0.007608749475918497,-0.004714259893162098,-0.012021868132124802,-0.016201840981706406,-0.00576073385105913,-0.002698318542643574,0.005527539244571722,0.006007852984757367,-0.0030175404574434017,0.00888089867279529,0.0029092683931541963,-0.014487668010946364,-0.008390154984875386,-0.0007961468877631939,0.012373237723967367,-0.004933394556293824,0.0004356172046713347,-0.008076190218912593,0.0043784339753305535,0.0240508347408257,0.009715669357973855,-0.007532991663420252,-0.008832005007224697,0.014871990709637739,0.0008288451389555362,-0.022474773598230913,0.03880861461536789,0.00930164310510051,-0.008734741127195633,0.001569322089456593,0.0016334524850549759,-0.016549539644792777,-0.009999967088886286,-0.0009719056778747515,0.01770655629326323,-0.0010304362791649924,0.015334359636360873,1.6e-05,-5.6e-05,-3.9e-05,2.9999999999999997e-06,-1.7e-05,0.0
2020-12-17,0.006963450180244468,0.06565691135538487,0.011145114356200247,-0.00010327451097624785,-0.0015057469987226346,0.00282398078831525,-0.020498471351280023,0.003830107231162394,-0.000989211358903952,-0.0018385775569847995,0.0023008080541395692,0.010285281666143398,0.0022362168537999327,-0.0031568415753226997,0.002483815773258513,0.004424871042642886,-0.0045741428286064645,0.014727067724866982,-0.008564974579230777,0.0027073754198818634,0.016246879534296932,0.0,-0.009193984049574278,-0.008287194735915326,0.003957753765410521,-0.005555974672354913,0.0020830814860701707,-0.008815841075018538,0.002104519733332477,-0.004316819118322823,-0.00012537087416253367,0.006850182056249654,0.0006383939073884015,0.015376391979592618,0.015613488663191344,0.007457158602883096,0.013220883788057192,0.005659555621578827,0.005020916944425524,0.023066862296028168,-0.0014029579692540484,-0.000581014525611212,0.005592050062990239,-0.002620841072797697,0.053197818564255206,0.0027728141214966584,0.006866157589014987,0.02562750700157812,0.004607087840404311,-0.005034576533456181,7.8e-05,5e-05,-6.9999999999999e-05,-5.7999999999999994e-05,-1.9e-05,0.0
2020-12-18,-0.0158507932521591,0.06970418080435037,0.015322244589623057,-0.009500187977447783,-0.01063939440891426,0.02854427852847108,-0.0067347923348795025,-0.005549639039431176,0.009403855807617267,0.00999069113882034,-0.008885199951015776,0.0066836854430807335,0.013833014548792377,-0.013799527749115303,-0.0038030649499779523,-0.014317304863910807,-0.005520086077529962,-0.024268338972017633,-0.00966291114976725,-0.009409525210158809,-0.012848178173818003,0.0023895038206731556,-0.06298120705183974,-0.004930290152479144,0.008823271629667229,0.009727480798542354,-0.002078751277769242,0.010309244167145293,0.0038741600517959718,0.00699503010041691,-0.0036332761462454233,-0.007576814352533545,-0.0037828410371141263,0.002908590291498925,-0.022918135396640227,-0.005190576947656345,0.022795087500029787,0.008372495310398298,-0.009203032317538828,0.003991353863308067,-0.014110660720096035,0.00067806509871704,-0.003993012756878467,-0.0047886136362566,0.059612778969587055,-0.0001975535457131583,-0.009629029263457989,0.0039541880058160395,-0.0010266010826889271,-0.017249132245887755,-1.4e-05,-1.9e-05,-0.000116999999999999,-3.8e-05,-7.3e-05,0.0
2020-12-21,0.012395266930951498,0.03636364341850018,-0.009066502530905018,-0.028044149951648167,0.0014149045573290664,-0.013070735954154977,-0.0020022864227815518,0.037321193381579354,0.015444788867685189,-0.004420819399182374,-0.0055310022669989856,-0.0042210585452446825,-0.012323802798027694,-0.012616040604742307,-0.012724675988700862,-0.0022345431169289443,-0.003700315376759078,0.004876763951281671,0.004829351458543574,0.061330671396307546,0.0019964576387159205,-0.01954708277593642,-0.02317747782622992,0.03753788126380009,-0.01730582258328539,-0.01876226667141323,0.006924109315338489,-0.0014005541309591862,-0.015854661914440515,-0.013060680559397464,-0.003017659375659121,0.05687143654431348,0.018299203275100373,-0.010365812660783624,0.049097038620403266,0.004539304053603255,-0.008914657006836801,-0.010412907357185142,-0.007961762416406337,0.005371130228385201,-0.004205485252155583,-0.00329187697505795,-0.003575282888259035,0.007862684626447125,-0.06494968189377415,0.02331095081142953,-0.006796989509073148,-0.014784578673021964,0.0001367970112791106,-0.0182539057503599,-2.3999999999999997e-05,2.3999999999999997e-05,-5.999999999999999e-06,-0.0001,3e-05,0.0
2020-12-22,0.02846435620350718,0.0010428055728743946,0.011597340655739474,-0.0007508279770861437,0.00010603453584812073,0.009839695618033106,-0.0024166649272578944,-0.017821073125885434,-0.027522789700414663,-0.019871391084201884,-0.008055262074773806,0.02075339708047763,-0.004233565163172859,-0.02009552239852941,-0.0014061709383409449,-0.015677465752475084,-0.01485601616566723,-0.007522472339153374,-0.009123960660316288,-0.026811406492536882,-0.0035051565144095242,0.0017830890293211166,-0.004098259937047044,-0.01521662914479227,-0.000946811239321943,-0.004093195205784217,0.0017039891733336976,-0.008014456563851247,0.0011809879604680606,-0.02089519653360672,0.0016395031378899638,-0.017543978348671607,0.006064895590178754,-0.0029872215464226137,-0.010901300542357273,-0.004050234877469694,0.010390738073666084,-0.009491093226936753,-0.017121228774337638,0.024272280649020983,-0.003133574018921892,-0.0051486788754279145,-0.001685720935866608,0.0034352946027691456,-0.01464926902636221,0.038223929949785074,-0.0031839876943604573,0.011414212506825061,-0.012125773940712903,-0.016925065576966047,5e-06,8.5e-05,-0.00016299999999999998,-8.4e-05,-1e-05,0.0
2020-12-23,-0.0069758054882921305,-0.031742189209355565,-0.01439992378020638,-0.017282101192170662,-0.006627122071927394,-0.017640209860251832,0.00415944632592935,0.028757213636214862,0.017378218135125856,0.010420420274535713,-0.00038682631578712545,-0.01617868303980785,-0.006936527481611665,0.01576600005055706,0.018187212617795767,0.02275310065628311,0.023562677276486976,0.037897444171269834,0.005152330148735507,0.02543074756538166,-0.0008517993575316574,0.002346010131104581,0.00866373327162373,0.027944686669723717,0.006065435505563821,0.010577143500038577,-0.01324376005629535,0.011310874414783845,0.0004720800829904892,0.003818763486914234,0.004281194085361095,0.023559381196758933,-0.01303903451779398,-0.02436803909824037,-0.0048440265326400445,-0.020258912822551656,0.002302230831338292,0.0027080221339119692,0.019052389101891887,-0.016633149204515862,0.004236637631208184,-0.003417643830152306,0.0008987650971126193,0.014853317085525841,0.008807772074100217,-0.0013015934624968084,0.007701260852304603,-0.010999140042420863,-0.006796040056093022,0.0128515941583498,1.1000000000000001e-05,8.7e-05,0.00020299999999999997,2.7000000000000002e-05,4.0999999999999e-05,0.0
2020-12-24,0.0077125619550515445,-0.020062010500279892,0.005936651843819751,0.002839918057555346,-0.003949415822362745,0.014102380997705444,-0.011561784863648117,-0.0029950200218284984,0.0014641949466047688,0.006389269458801694,0.0074331344101725705,-0.007254823414512335,0.0036051569026416264,-0.004201145823101715,0.0010371586263249188,-0.0144604978385241,-0.01933712372180374,-0.02049463408745955,0.0037346455574223114,-0.0011307689838832014,0.004113918006411144,0.006376061171653902,0.010736397966616407,-0.004397739322123173,0.006781995960038811,0.0010520509816038803,0.0020932670318873914,-0.024166149228032396,-0.0029715152743339246,-0.002648064613555934,0.004764397259863662,-0.0017590239438863842,0.007827272615424485,-0.0009913407828477938,-0.0011288239402220679,-0.0011913608912667017,-0.005206646351824662,0.0045009754579103944,-0.004540430555904473,-0.0033411370699119036,0.012452425722956129,-0.0004899330717623718,0.003890410339965511,0.001600967175412027,0.02444349518922251,-0.01545332397142729,0.009479131748289849,-0.0026065003663660047,0.001954999852898265,-0.004069795052040082,2.3e-05,-4.4000000000000006e-05,-1.9e-05,2.3999999999999997e-05,-8e-06,0.0
2020-12-28,0.035765703156707795,-0.03771632960483051,-0.0018204560700958439,-0.002287322623428123,0.03507113271672124,0.0009734663825842205,-0.004881407268650717,0.005674286474100176,0.00974666858501072,-0.006627290170938771,0.017774002322442417,-0.005049150450031292,0.008531365546371461,-0.005039488321585961,0.029528530068687164,0.003385897557571571,-0.000938811404478046,0.0019238120232545342,0.02141652488592416,0.013390122717580555,-0.006164170706082106,0.0010426404931496158,0.0,0.006585417967033491,0.013473035509706133,0.006278913430951993,-0.004484727159911994,0.0186246384781934,0.012441436760115998,0.03590107870221071,0.0038679549091735765,-0.000587440599281952,0.009921470640728236,0.010020028329862818,0.00586156730908538,-0.007215204547085463,-0.0013853283214234624,0.01275336474766764,-0.012074055357239488,-0.012194105915105946,-0.007056952566501518,0.0228410175547471,0.008590835426296461,0.006849648861555702,0.002901307404113318,-0.01720877135081611,0.015141283182216858,-0.004820193461338773,0.01198597441001592,0.003365338172449217,4.9e-05,-6.7e-05,3.6e-05,0.000138,4.7999999999999994e-05,0.0
2020-12-29,-0.01331513671374418,0.006711409395973256,0.006333245950939315,-0.010698643491963922,0.011583625131030173,-0.00657611809815406,0.000740449187009995,-0.003982733037598107,0.0,-0.00964284080905975,0.004473419260283329,-0.009704454620636738,-0.006233035274952559,-0.0034157971113875085,-0.008721822474329732,-0.00787386211865937,-0.0075187997588732625,-0.0021604175516558577,-0.009779858829622956,-0.0060867430890414465,-0.011365066440833793,-0.008171701030364353,0.04928840971220283,-0.002632904081575682,-0.0005537464376723644,-0.0007904329538180876,-0.009257098695717891,-0.010448070182457858,-0.006120618664798072,-0.0007942291855428385,0.012057472180171613,-0.004996576758787286,-0.003600826354268505,0.022634517646759722,-0.006037823976659973,0.003352882050701167,-0.006320439480028361,0.003471582436283205,0.006246456338562023,-0.019938078928604552,0.005076554356883145,0.012363259445382857,-0.0019077664576919728,-0.007653618003489737,0.003465523985226371,0.005772546276967105,0.004047028486536597,-0.01359724674909013,-0.006335177259118363,-0.011260083118284192,-3.9e-05,-0.000141999999999999,2.3999999999999997e-05,7.8e-05,-2.7000000000000002e-05,0.0
2020-12-30,-0.0085263120091853,-0.010466715494791612,-0.00928078166234525,0.018428582193000365,-0.010882060864285004,0.013495478857435739,0.0019421880644869827,-0.0009996467279014265,0.0060326271787483066,0.01919057327489848,0.004641622787235233,-0.0002698532538422116,-0.0035841594450138903,0.008509878527330539,0.021827406785436043,0.004535098920990244,0.014204559988356458,0.006495094962111869,-0.010917170273381127,0.005581499367871334,-0.003493513567796369,0.004361810318574522,-0.012958064637392908,0.002799632113765549,0.0057269642985422475,0.0007348650012035662,0.0001248785234480021,0.022131982793662797,-0.005406946697417037,-0.017739744978466976,-0.010194056532414009,0.0019197309266858475,-0.011019375212123927,-0.01182967855498096,7.071851749906877e-05,0.015645282371995695,-0.0009307371506936946,-0.0007463184040669146,-0.008366687613223456,0.0020776703823768283,0.009832308402570655,0.003218883513035564,0.0014268269338666428,-0.006626865677621163,0.0432288658824449,0.016835681278141834,-0.006794750032122154,-0.016564920218748336,-0.0008316105376947602,0.007996068860534944,2.7000000000000002e-05,0.000107,5.999999999999999e-06,-6.6e-05,-4e-06,0.0
2020-12-31,-0.007703004644215583,-0.010981538128778667,0.005367339118779624,-0.006284557647643352,-0.008801370623195415,0.006945080347045218,-0.012045971442324221,0.01100740438594805,0.01798988930042089,0.010997442718071238,0.006222598288209813,0.000584643114926342,0.006070062472271154,-0.0103130757100931,5.517248513675632e-05,-0.007900664071438412,0.008403355201254348,-0.004780116529573997,0.007105631780119692,0.0164189584598875,0.0013569262462764797,0.012385311360016082,0.021948825457608123,0.013640765359095086,0.007347210637711932,0.0023149834702647087,-0.00031168634348066604,-0.024036533190404663,0.01427503303069555,0.004745198764258829,0.015014140983782731,0.01017132786757613,0.003338256261812944,0.03076692729656272,-0.00077715427976488,-0.0069034143280986004,0.004502976631830746,0.006720673764162299,0.0019050704987235711,0.011619352688065021,0.015938594738579726,0.00953082811916195,0.005080728219841513,0.015240348110566515,0.01567398119122254,-0.0404515797583197,0.01649333971726996,0.013054013014180743,-0.00020813938848474045,-0.009134713718496168,4e-05,-6.9e-05,4.4000000000000006e-05,5.6e-05,-2.2000000000000003e-05,0.0
