Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Market
2019-03-06,-0.0084,-0.0123,0.0005,0.0056999999999999,0.0012,0.0001,-0.0083
2019-03-07,-0.0081999999999999,-0.0005,-0.0034,-0.0037,0.0012,0.0001,-0.0080999999999999
2019-03-08,-0.0022,0.0007,-0.0017,-0.0011,-0.0026,0.0001,-0.0021000000000000003
2019-03-11,0.0149,0.0027,-0.0053,-0.0028,-0.0046,0.0001,0.015
2019-03-12,0.0025,-0.0031,-0.0007,-0.0043,0.0002,0.0001,0.0026
2019-03-13,0.0067,-0.0032,0.0008,-0.0017,0.0017,0.0001,0.0068000000000000005
2019-03-14,-0.001,-0.0038,0.003,-0.0015,-0.0011,0.0001,-0.0009
2019-03-15,0.0048,-0.0024,-0.0025,-0.0005,-0.0019,0.0001,0.0049
2019-03-18,0.0046,0.0022,0.0044,-0.0009,-0.0008,0.0001,0.0047
2019-03-19,-0.0009,-0.0046999999999999,-0.0092,0.0002,-0.0008,0.0001,-0.0007999999999999999
2019-03-20,-0.0037,-0.0023,-0.0106,-0.0015,-0.0026,0.0001,-0.0036000000000000003
2019-03-21,0.011,0.0017,-0.0123,0.0031,-0.0034,0.0001,0.011099999999999999
2019-03-22,-0.0217,-0.0156,-0.0008,0.0056999999999999,0.0060999999999999,0.0001,-0.0216
2019-03-25,-0.0005,0.0060999999999999,-0.0026,0.0021,0.0004,0.0001,-0.0004
2019-03-26,0.0076,0.0023,0.0046,0.0005,0.0017,0.0001,0.0077
2019-03-27,-0.005,0.0016,0.0051,0.0075,0.0011,0.0001,-0.0049
2019-03-28,0.004,0.0034,0.0002,-0.0013,-0.0005,0.0001,0.0041
2019-03-29,0.0066,-0.0028,-0.0092,0.0022,-0.0017,0.0001,0.0067
2019-04-01,0.0118999999999999,-0.0019,0.0098999999999999,-0.0009,-0.003,0.0001,0.0119999999999999
2019-04-02,-0.0005,-0.0018,-0.0044,-0.0039,-0.0049,0.0001,-0.0004
2019-04-03,0.0027,0.0022,-0.0039,0.0013,-0.0039,0.0001,0.0028
2019-04-04,0.0019,0.0034999999999999,0.0093999999999999,0.0063,0.0026,0.0001,0.002
2019-04-05,0.0053,0.0049,-0.0007,-0.0029,0.0011,0.0001,0.0054
2019-04-08,0.0008,-0.0031,0.001,0.0027,-0.0003,0.0001,0.0009000000000000001
2019-04-09,-0.0065,-0.006,-0.0015,0.0014,-0.0004,0.0001,-0.0063999999999999994
2019-04-10,0.0048,0.0095,-0.0011,0.0008,-0.0013,0.0001,0.0049
2019-04-11,0.0,-0.0027,0.004,0.0005,0.0012,0.0001,0.0001
2019-04-12,0.0064,-0.0036,0.0066,0.0052,-0.0025,0.0001,0.006500000000000001
2019-04-15,-0.0009,-0.0026,-0.0055,0.0036,0.0007,0.0001,-0.0007999999999999999
2019-04-16,0.0013,0.0023,0.0070999999999999,-0.0012,-0.0014,0.0001,0.0014
2019-04-17,-0.0032,-0.0053,0.0084,0.011,-0.0028,0.0001,-0.0031000000000000003
2019-04-18,0.0011,-0.0028,-0.005,0.0016,-0.002,0.0001,0.0012000000000000001
2019-04-22,0.0011,-0.0049,-0.0056999999999999,-0.0052,-0.0019,0.0001,0.0012000000000000001
2019-04-23,0.0097,0.0066,-0.0049,-0.0012,-0.0042,0.0001,0.0098
2019-04-24,-0.0022,0.0032,-0.0008,0.0064,0.0007,0.0001,-0.0021000000000000003
2019-04-25,-0.0014,-0.0079,-0.0021,-0.0063,-0.0027,0.0001,-0.0013
2019-04-26,0.0053,0.0046999999999999,0.0006,-0.0008,-0.0018,0.0001,0.0054
2019-04-29,0.0018,0.0015,0.0065,-0.0039,-0.0016,0.0001,0.0019
2019-04-30,-0.0004,-0.0068,0.0027,0.0011,0.0069,0.0001,-0.00030000000000000003
2019-05-01,-0.0083,-0.0007,-0.0002,0.0036,-0.0005,0.0001,-0.0082
2019-05-02,-0.0016,0.0046,-0.0028,0.0003,0.0006,0.0001,-0.0015
2019-05-03,0.0113,0.0093,-0.0027,-0.0001,-0.0037,0.0001,0.011399999999999999
2019-05-06,-0.0039,0.0058,-0.0042,0.0002,0.0006,0.0001,-0.0038
2019-05-07,-0.0169,-0.0027,0.0049,0.0003,0.003,0.0001,-0.0168
2019-05-08,-0.0021,-0.0021,-0.0031,-0.0001,0.0017,0.0001,-0.002
2019-05-09,-0.0028,0.0006,0.0009,-0.0036,0.0001,0.0001,-0.0027
2019-05-10,0.0034999999999999,-0.0033,0.0006,-0.0011,0.0026,0.0001,0.0035999999999998997
2019-05-13,-0.0265,-0.0068,0.0028,0.0024,0.0084,0.0001,-0.0264
2019-05-14,0.0091,0.0034,-0.0002,-0.0056,-0.0002,0.0001,0.0092
2019-05-15,0.0058,-0.0009,-0.0096,0.0012,-0.003,0.0001,0.0059
2019-05-16,0.0091,-0.0045,-0.0033,-0.0014,-0.0023,0.0001,0.0092
2019-05-17,-0.0070999999999999,-0.0076,0.0028,0.0006,0.0033,0.0001,-0.0069999999999998995
2019-05-20,-0.0065,-0.0011,0.0073,0.0006,0.0045,0.0001,-0.0063999999999999994
2019-05-21,0.009,0.0043,-0.0034,-0.0015,-0.0018,0.0001,0.009099999999999999
2019-05-22,-0.004,-0.0064,-0.0062,-0.0012,0.002,0.0001,-0.0039000000000000003
2019-05-23,-0.0137,-0.0072,-0.0027,0.0033,0.0026,0.0001,-0.013600000000000001
2019-05-24,0.0023,0.0051,0.003,-0.005,-0.0004,0.0001,0.0024
2019-05-28,-0.0078,0.0021,-0.0063,0.0,-0.0029,0.0001,-0.007699999999999999
2019-05-29,-0.0070999999999999,-0.0024,0.0040999999999999,-0.0018,0.0001,0.0001,-0.0069999999999998995
2019-05-30,0.0014,-0.0037,-0.0077,0.0029,-0.0004,0.0001,0.0015
2019-05-31,-0.0137,-0.0023,-0.0011,0.0005,0.0039,0.0001,-0.013600000000000001
2019-06-03,-0.004,0.0056999999999999,0.0168,0.0028,0.0144999999999999,0.0001,-0.0039000000000000003
2019-06-04,0.0232,0.0049,-0.0003,0.0026,-0.0048,0.0001,0.023299999999999998
2019-06-05,0.0069999999999999,-0.0106,-0.0097,0.0007,-0.0022,0.0001,0.007099999999999901
2019-06-06,0.0055,-0.0108,0.0002,0.0005,-0.0008,0.0001,0.0056
2019-06-07,0.0104,-0.0014,-0.0118999999999999,0.0037,-0.0067,0.0001,0.010499999999999999
2019-06-10,0.0054,0.0001,0.0007,0.0038,-0.0036,0.0001,0.0055000000000000005
2019-06-11,-0.0012,-0.0021,0.0056999999999999,0.0046999999999999,0.002,0.0001,-0.0010999999999999998
2019-06-12,-0.002,0.003,-0.01,0.0008,0.0009,0.0001,-0.0019
2019-06-13,0.0052,0.0068,-0.0004,-0.0013,-0.0005,0.0001,0.0053
2019-06-14,-0.0027,-0.0073,0.003,0.0026,0.0014,0.0001,-0.0026000000000000003
2019-06-17,0.0015,0.0048,-0.0113,-0.0067,-0.0043,0.0001,0.0016
2019-06-18,0.0104,0.0019,0.0034999999999999,-0.0025,-0.0019,0.0001,0.010499999999999999
2019-06-19,0.0032,0.0002,-0.006,-0.0019,0.0016,0.0001,0.0033
2019-06-20,0.0089,-0.004,-0.0022,-0.0012,-0.0012,0.0001,0.009
2019-06-21,-0.0021,-0.0046,-0.0003,-0.0009,0.0002,0.0001,-0.002
2019-06-24,-0.0034999999999999,-0.009,0.0008,0.0063,-0.0002,0.0001,-0.0033999999999999
2019-06-25,-0.0098,0.0042,0.0072,-0.001,0.0060999999999999,0.0001,-0.0097
2019-06-26,-0.0007,0.0002,0.0027,0.0034999999999999,-0.004,0.0001,-0.0006
2019-06-27,0.0059,0.0143,-0.001,-0.0034999999999999,-0.0022,0.0001,0.006
2019-06-28,0.0068,0.0076,0.0062,-0.0046999999999999,0.0014,0.0001,0.0069
2019-07-01,0.0075,-0.0058,-0.0013,-0.0014,0.0003,0.0001,0.0076
2019-07-02,0.0014,-0.0097,-0.0081,-0.0001,0.0,0.0001,0.0015
2019-07-03,0.0079,-0.0014,-0.0032,-0.0034999999999999,-0.0005,0.0001,0.008
2019-07-05,-0.001,0.0033,0.0091,0.0013,-0.0005,0.0001,-0.0009
