,0
NVDA,0.36416257845065636
AVGO,0.296053061977188
AAPL,0.29022746631833796
META,0.2652655215958736
MSFT,0.2646603236334181
ADBE,0.25337907618738825
GOOGL,0.2383804207709793
MA,0.23550285765588228
BA,0.23481744371428642
TSLA,0.22728727150833314
HD,0.22051082938487454
BLK,0.2170283663043485
AXP,0.2143030824554272
SBUX,0.21005737646548034
AMZN,0.20897260623249944
NKE,0.20809288439784096
V,0.20549887886765952
MS,0.2033562699896229
GE,0.20239921646419087
Mkt-RF,0.19449634809990288
CRM,0.1935381471369766
C,0.19155959829229618
HON,0.1914098276798383
UNH,0.18485318277249474
COST,0.18415448979717525
GS,0.1833894506476316
CAT,0.17316821848802402
BAC,0.17255329406705158
JPM,0.16964088298454016
DE,0.1692237403955597
WFC,0.16914104548351297
PEP,0.1679858123452226
TMO,0.1648064168688765
LLY,0.16471442880458637
DIS,0.1619066955827651
ABT,0.1587002814542944
MCD,0.15665337356639025
COP,0.1561597484001002
SLB,0.15360924079015498
CVX,0.15165118797681656
PG,0.1494021253566918
KO,0.1482579500818498
EOG,0.13625279745537197
ABBV,0.12645126417660044
PFE,0.12200097796289094
XOM,0.1218613841367984
JNJ,0.12130581033465199
MRK,0.11720544684392746
