Strategy,Ann. Return,Ann. Volatility,Sharpe Ratio,Max Drawdown
OLS (Static),0.010871094730091528,0.04600568889734253,0.23629892282124887,-0.3649731076332505
Random Forest (Dynamic),0.47379708828508443,0.24821463738876434,1.9088200972733258,-0.15427834944756444
